Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor/m2;Valor Bruto;Tipo Agregado
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;42.5;2260.0;Apartamento
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;70.0;;Casa
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;150;5200.0;4020.0;1111.0;34.67;10331.0;Apartamento
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;53.33;1210.0;Apartamento
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;16.67;;Apartamento
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;26.0;1618.0;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;29.33;;Casa
Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;15.38;;Casa
Conjunto Comercial/Sala;Centro;0;3;0;695;35000.0;19193.0;3030.0;50.36;57223.0;Apartamento
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;21.43;2216.0;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;16.67;1969.0;Apartamento
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;50.0;2611.0;Apartamento
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;66.67;;Apartamento
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;53.5;15803.0;Apartamento
Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;17.39;;Casa
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;17.59;1278.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;25.37;2436.0;Apartamento
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;17.27;2738.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;16.09;;Casa
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;14.71;;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;25.64;;Apartamento
Conjunto Comercial/Sala;São Cristóvão;0;1;0;25;1100.0;600.0;0.0;44.0;;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;9563.0;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;15.62;1547.0;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;24.0;6200.0;Apartamento
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;30.0;;Casa
